assembly,Family,Strain,lane_id,Designation,Designation.source,O,H,ST131.clade,count
25013_1_9_clean_Escherichia_coli-SC6_ST69_contigs,B01729,SC6_ST69,25013_1_9,KL20,>5000bp,O17,H18,,2
25013_1_9_clean_Escherichia_coli-SC70_ST607_contigs,B01729,SC70_ST607,25013_1_9,Untypeable,Both,O17,H18,,1
37273_8_6_clean_Escherichia_coli-SC15_ST648_contigs,B01730,SC15_ST648,37273_8_6,KL140_K7-like,>5000bp,O83,H42,,1
37273_8_4_clean_Escherichia_coli-SC112_ST355_contigs,B01733,SC112_ST355,37273_8_4,KL43,>5000bp,O120,H5,,1
37273_3_16_clean_Escherichia_coli-SC38_ST62_contigs,B01735,SC38_ST62,37273_3_16,KL8A1_K1,>5000bp,O18,H1,,1
37273_3_16_clean_Escherichia_coli-SC3_ST73_contigs,B01735,SC3_ST73,37273_3_16,KL7,>5000bp,O18,H1,,1
24469_4_14_clean_Escherichia_coli-SC11_ST127_contigs,B01771,SC11_ST127,24469_4_14,KL137_K14-like,>5000bp,O6,H31,,1
25076_3_16_clean_Escherichia_coli-SC16_ST38_contigs,B01771,SC16_ST38,25076_3_16,KL31_K74,>5000bp,O110,H28,,1
25076_3_16_clean_Escherichia_coli-SC17_ST58_contigs,B01771,SC17_ST58,25076_3_16,Untypeable,Both,O110,H28,,1
25076_3_16_clean_Escherichia_coli-SC73_ST156_contigs,B01771,SC73_ST156,25076_3_16,Untypeable,Both,O110,H28,,1
24469_6_18_clean_Escherichia_coli-SC2_ST131_contigs,B01772,SC2_ST131,24469_6_18,KL2_K100,>5000bp,O16,H5,A,1
21989_7_5_clean_Escherichia_coli-SC32_ST80_contigs,B01772,SC32_ST80,21989_7_5,KL8A1_K1,>5000bp,O75,H7,,1
25013_3_13_clean_Escherichia_coli-SC201_ST543_contigs,B01773,SC201_ST543,25013_3_13,Untypeable,Both,O169,H9,,1
25013_1_15_clean_Escherichia_coli-SC45_ST297_contigs,B01773,SC45_ST297,25013_1_15,Untypeable,Both,O3,Hneg,,1
24469_6_19_clean_Escherichia_coli-SC67_ST381_contigs,B01775,SC67_ST381,24469_6_19,Untypeable,Both,O86,H8,,1
37273_8_10_clean_Escherichia_coli-SC60_ST420_contigs,B01777,SC60_ST420,37273_8_10,KL8A1_K1,>5000bp,O134,H31,,1
24211_4_7_clean_Escherichia_coli-SC69_ST349_contigs,B01784,SC69_ST349,24211_4_7,KL22,>5000bp,O166,H15,,1
24469_7_23_clean_Escherichia_coli-SC25_ST517_contigs,B01786,SC25_ST517,24469_7_23,Untypeable,Both,O88,H25,,1
24211_3_18_clean_Escherichia_coli-SC3_ST73_contigs,B01786,SC3_ST73,24211_3_18,KL21_K13-K23,>5000bp,O6,H1,,1
25013_1_21_clean_Escherichia_coli-SC117_ST226_contigs,B01787,SC117_ST226,25013_1_21,Untypeable,Both,O65,H11,,1
25013_1_21_clean_Escherichia_coli-SC229_ST401_contigs,B01787,SC229_ST401,25013_1_21,Untypeable,Both,O65,H11,,1
25013_1_21_clean_Escherichia_coli-SC43_ST206_contigs,B01787,SC43_ST206,25013_1_21,Untypeable,Both,O65,H11,,1
25013_1_21_clean_Escherichia_coli-SC46_ST746_contigs,B01787,SC46_ST746,25013_1_21,Untypeable,Both,O65,H11,,1
25013_1_21_clean_Escherichia_coli-SC4_ST10_contigs,B01787,SC4_ST10,25013_1_21,Untypeable,Both,O65,H11,,1
25013_1_21_clean_Escherichia_coli-SC51_ST93_contigs,B01787,SC51_ST93,25013_1_21,Untypeable,Both,O65,H11,,1
25013_1_21_clean_Escherichia_coli-SC65_ST399_contigs,B01787,SC65_ST399,25013_1_21,Untypeable,Both,O65,H11,,1
25013_1_21_clean_Escherichia_coli-SC69_ST349_contigs,B01787,SC69_ST349,25013_1_21,KL8A1_K1,>5000bp,O65,H11,,1
25013_1_21_clean_Escherichia_coli-SC74_ST540_contigs,B01787,SC74_ST540,25013_1_21,Untypeable,Both,O65,H11,,1
25013_1_21_clean_Escherichia_coli-SC80_ST7077_contigs,B01787,SC80_ST7077,25013_1_21,Untypeable,Both,O65,H11,,1
25013_1_21_clean_Escherichia_coli-SC89_ST542_contigs,B01787,SC89_ST542,25013_1_21,Untypeable,Both,O65,H11,,1
24211_3_24_clean_Escherichia_coli-SC149_ST224_contigs,B01791,SC149_ST224,24211_3_24,Untypeable,Both,Oneg,Hneg,,1
24469_2_1_clean_Escherichia_coli-SC15_ST648_contigs,B01791,SC15_ST648,24469_2_1,KL140_K7-like,>5000bp,O83,H42,,1
24469_4_12_clean_Escherichia_coli-SC16_ST38_contigs,B01796,SC16_ST38,24469_4_12,KL189_K52-like,>5000bp,O153-like,H30,,1
24469_3_6_clean_Escherichia_coli-SC16_ST38_contigs,B01796,SC16_ST38,24469_3_6,KL30,>5000bp,O153-like,H30,,2
24469_3_6_clean_Escherichia_coli-SC17_ST58_contigs,B01796,SC17_ST58,24469_3_6,Untypeable,Both,O153-like,H30,,1
24469_3_6_clean_Escherichia_coli-SC45_ST297_contigs,B01796,SC45_ST297,24469_3_6,Untypeable,Both,O153-like,H30,,1
24469_4_12_clean_Escherichia_coli-SC4_ST10_contigs,B01796,SC4_ST10,24469_4_12,KL12_K82,<5000bp,O153-like,H30,,1
24211_3_19_clean_Escherichia_coli-SC4_ST10_contigs,B01798,SC4_ST10,24211_3_19,Untypeable,Both,Oneg,Hneg,,1
24469_2_14_clean_Escherichia_coli-SC50_ST457_contigs,B01799,SC50_ST457,24469_2_14,KL28_K53,>5000bp,O11,H25,,1
24469_2_14_clean_Escherichia_coli-SC8_ST1193_contigs,B01799,SC8_ST1193,24469_2_14,KL8A1_K1,<5000bp,O11,H25,,1
21989_7_9_clean_Escherichia_coli-SC65_ST399_contigs,B01800,SC65_ST399,21989_7_9,Untypeable,Both,Onovel17,H25,,1
25076_6_13_clean_Escherichia_coli-SC4_ST10_contigs,B01829,SC4_ST10,25076_6_13,Untypeable,Both,Oneg,Hneg,,1
25013_2_13_clean_Escherichia_coli-SC8_ST1193_contigs,B01830,SC8_ST1193,25013_2_13,KL31_K74,>5000bp,O75,H5,,1
25076_3_18_clean_Escherichia_coli-SC4_ST10_contigs,B01847,SC4_ST10,25076_3_18,Untypeable,Both,O9,H30,,1
25076_3_18_clean_Escherichia_coli-SC74_ST540_contigs,B01847,SC74_ST540,25076_3_18,Untypeable,Both,O9,H30,,1
25076_5_15_clean_Escherichia_coli-SC8_ST1193_contigs,B01848,SC8_ST1193,25076_5_15,KL6_K5,>5000bp,O75,H5,,1
24211_4_9_clean_Escherichia_coli-SC227_STnew_alleles_contigs,B01851,SC227_STnew_alleles,24211_4_9,KL7,>5000bp,Oneg,H14,,1
24469_3_23_clean_Escherichia_coli-SC2_ST131_contigs,B01851,SC2_ST131,24469_3_23,KL3_K2ab,>5000bp,O16,H5,A,1
24469_3_23_clean_Escherichia_coli-SC77_ST409_contigs,B01851,SC77_ST409,24469_3_23,KL16_K14,>5000bp,O16,H5,,1
37273_7_10_clean_Escherichia_coli-SC4_ST10_contigs,B01887,SC4_ST10,37273_7_10,Untypeable,Both,O11,H4,,1
37081_3_4_clean_Escherichia_coli-SC3_ST73_contigs,B01889,SC3_ST73,37081_3_4,KL7,>5000bp,O18,H1,,1
24469_2_24_clean_Escherichia_coli-SC65_ST399_contigs,B01890,SC65_ST399,24469_2_24,Untypeable,Both,O184,H25,,1
23584_5_10_clean_Escherichia_coli-SC121_ST452_contigs,B01891,SC121_ST452,23584_5_10,KL5,>5000bp,O81,H27,,1
24469_2_3_clean_Escherichia_coli-SC109_ST327_contigs,B01892,SC109_ST327,24469_2_3,Untypeable,Both,O114,H25,,1
24469_2_3_clean_Escherichia_coli-SC12_ST410_contigs,B01892,SC12_ST410,24469_2_3,Untypeable,Both,O114,H25,,1
24469_2_3_clean_Escherichia_coli-SC139_ST1079_contigs,B01892,SC139_ST1079,24469_2_3,Untypeable,Both,O114,H25,,1
24469_2_3_clean_Escherichia_coli-SC147_ST2178_contigs,B01892,SC147_ST2178,24469_2_3,Untypeable,Both,O114,H25,,1
24469_2_3_clean_Escherichia_coli-SC176_ST603_contigs,B01892,SC176_ST603,24469_2_3,Untypeable,Both,O114,H25,,1
24469_2_3_clean_Escherichia_coli-SC177_ST1249_contigs,B01892,SC177_ST1249,24469_2_3,Untypeable,Both,O114,H25,,1
24469_2_3_clean_Escherichia_coli-SC17_ST58_contigs,B01892,SC17_ST58,24469_2_3,Untypeable,Both,O114,H25,,1
24469_2_3_clean_Escherichia_coli-SC19_ST33_contigs,B01892,SC19_ST33,24469_2_3,Untypeable,Both,O114,H25,,1
24469_2_3_clean_Escherichia_coli-SC204_ST5419_contigs,B01892,SC204_ST5419,24469_2_3,Untypeable,Both,O114,H25,,1
24469_2_3_clean_Escherichia_coli-SC228_ST2425_contigs,B01892,SC228_ST2425,24469_2_3,Untypeable,Both,O114,H25,,1
24469_2_3_clean_Escherichia_coli-SC240_ST8579_contigs,B01892,SC240_ST8579,24469_2_3,Untypeable,Both,O114,H25,,1
24469_2_3_clean_Escherichia_coli-SC24_ST443_contigs,B01892,SC24_ST443,24469_2_3,Untypeable,Both,O114,H25,,1
24469_2_3_clean_Escherichia_coli-SC283_ST4198_contigs,B01892,SC283_ST4198,24469_2_3,Untypeable,Both,O114,H25,,1
24469_2_3_clean_Escherichia_coli-SC28_ST101_contigs,B01892,SC28_ST101,24469_2_3,Untypeable,Both,O114,H25,,1
24469_2_3_clean_Escherichia_coli-SC336_ST10283_contigs,B01892,SC336_ST10283,24469_2_3,Untypeable,Both,O114,H25,,1
24469_2_3_clean_Escherichia_coli-SC380_ST5628_contigs,B01892,SC380_ST5628,24469_2_3,Untypeable,Both,O114,H25,,1
24469_2_3_clean_Escherichia_coli-SC53_ST448_contigs,B01892,SC53_ST448,24469_2_3,Untypeable,Both,O114,H25,,1
24469_2_3_clean_Escherichia_coli-SC87_ST937_contigs,B01892,SC87_ST937,24469_2_3,Untypeable,Both,O114,H25,,1
24469_2_3_clean_Escherichia_coli-SC91_ST345_contigs,B01892,SC91_ST345,24469_2_3,Untypeable,Both,O114,H25,,1
24469_2_3_clean_Escherichia_coli-SC96_ST4038_contigs,B01892,SC96_ST4038,24469_2_3,Untypeable,Both,O114,H25,,1
25013_1_5_clean_Escherichia_coli-SC18_ST141_contigs,B01906,SC18_ST141,25013_1_5,KL8A1_K1,>5000bp,O2,H6,,1
25013_1_5_clean_Escherichia_coli-SC70_ST607_contigs,B01906,SC70_ST607,25013_1_5,Untypeable,Both,O2,H6,,1
24469_1_17_clean_Escherichia_coli-SC95_ST2346_contigs,B01944,SC95_ST2346,24469_1_17,Untypeable,Both,O33,H34,,1
23430_6_5_clean_Escherichia_coli-SC16_ST38_contigs,B01947,SC16_ST38,23430_6_5,KL5,>5000bp,O7,H15,,1
23430_6_4_clean_Escherichia_coli-SC20_ST59_contigs,B01948,SC20_ST59,23430_6_4,KL8A1_K1,>5000bp,O1,H7,,1
24469_6_15_clean_Escherichia_coli-SC27_ST328_contigs,B01948,SC27_ST328,24469_6_15,Untypeable,Both,O1/O103,H7,,1
25013_2_9_clean_Escherichia_coli-SC2_ST131_contigs,B02002,SC2_ST131,25013_2_9,KL47_K16,<5000bp,O25,H4,B,1
25013_2_9_clean_Escherichia_coli-SC8_ST1193_contigs,B02002,SC8_ST1193,25013_2_9,KL6_K5,>5000bp,O25,H4,,1
22178_5_2_clean_Escherichia_coli-SC33_ST357_contigs,B02005,SC33_ST357,22178_5_2,KL8A1_K1,>5000bp,O117,H4,,1
37081_3_1_clean_Escherichia_coli-SC5_ST95_contigs,B02011,SC5_ST95,37081_3_1,KL8A1_K1,>5000bp,O1,H7,,1
24469_7_21_clean_Escherichia_coli-SC28_ST101_contigs,B02029,SC28_ST101,24469_7_21,KL12_K82,<5000bp,O153-like,Hneg,,1
24469_7_21_clean_Escherichia_coli-SC44_ST200_contigs,B02029,SC44_ST200,24469_7_21,Untypeable,Both,O153-like,Hneg,,1
24469_7_21_clean_Escherichia_coli-SC4_ST10_contigs,B02029,SC4_ST10,24469_7_21,Untypeable,Both,O153-like,Hneg,,1
24469_7_21_clean_Escherichia_coli-SC58_ST2773_contigs,B02029,SC58_ST2773,24469_7_21,Untypeable,Both,O153-like,Hneg,,1
25013_2_15_clean_Escherichia_coli-SC147_ST2178_contigs,B02069,SC147_ST2178,25013_2_15,Untypeable,Both,O103,H16,,1
25013_2_15_clean_Escherichia_coli-SC240_ST8579_contigs,B02069,SC240_ST8579,25013_2_15,Untypeable,Both,O103,H16,,1
25013_2_15_clean_Escherichia_coli-SC24_ST443_contigs,B02069,SC24_ST443,25013_2_15,Untypeable,Both,O103,H16,,1
25013_2_15_clean_Escherichia_coli-SC96_ST4038_contigs,B02069,SC96_ST4038,25013_2_15,Untypeable,Both,O103,H16,,1
23584_5_15_clean_Escherichia_coli-SC92_ST1722_contigs,B02075,SC92_ST1722,23584_5_15,KL45,>5000bp,O1,H25,,1
37081_3_7_clean_Escherichia_coli-SC105_ST636_contigs,B02078,SC105_ST636,37081_3_7,KL71,>5000bp,O83,H6,,1
37081_3_6_clean_Escherichia_coli-SC168_ST115_contigs,B02079,SC168_ST115,37081_3_6,Untypeable,Both,O25,H9,,1
22178_5_7_clean_Escherichia_coli-SC24_ST443_contigs,B02098,SC24_ST443,22178_5_7,Untypeable,Both,O153/O178,Hneg,,1
22178_5_7_clean_Escherichia_coli-SC28_ST101_contigs,B02098,SC28_ST101,22178_5_7,Untypeable,Both,O153/O178,Hneg,,1
24469_6_8_clean_Escherichia_coli-SC9_ST12_contigs,B02103,SC9_ST12,24469_6_8,KL86_K12,>5000bp,O18,H5,,1
37081_3_9_clean_Escherichia_coli-SC82_ST362_contigs,B02108,SC82_ST362,37081_3_9,KL47_K16,>5000bp,Oneg,H6,,1
22178_5_17_clean_Escherichia_coli-SC38_ST62_contigs,B02147,SC38_ST62,22178_5_17,KL8A1_K1,>5000bp,O7,H45,,1
37273_4_11_clean_Escherichia_coli-SC2_ST131_contigs,B02151,SC2_ST131,37273_4_11,KL47_K16,>5000bp,O25,H4,B,1
24469_3_11_clean_Escherichia_coli-SC11_ST127_contigs,B02153,SC11_ST127,24469_3_11,KL114_K2-like,>5000bp,O6,H31,,1
22178_5_20_clean_Escherichia_coli-SC51_ST93_contigs,B02156,SC51_ST93,22178_5_20,KL10_K7,>5000bp,O15,H33,,1
24469_1_21_clean_Escherichia_coli-SC4_ST10_contigs,B02165,SC4_ST10,24469_1_21,KL3_K2ab,>5000bp,O153-like,H6,,1
24469_1_21_clean_Escherichia_coli-SC6_ST69_contigs,B02165,SC6_ST69,24469_1_21,KL40_K15,>5000bp,O153-like,H6,,1
24211_5_10_clean_Escherichia_coli-SC9_ST12_contigs,B02165,SC9_ST12,24211_5_10,KL26_K3,>5000bp,O4,H5,,1
24469_6_22_clean_Escherichia_coli-SC3_ST73_contigs,B02166,SC3_ST73,24469_6_22,KL6_K5,>5000bp,O25,H1,,1
24469_6_22_clean_Escherichia_coli-SC43_ST206_contigs,B02166,SC43_ST206,24469_6_22,Untypeable,Both,O25,H1,,1
37081_3_15_clean_Escherichia_coli-SC4_ST10_contigs,B02169,SC4_ST10,37081_3_15,KL82_K1-K92-like,<5000bp,O12,H4,,1
24469_6_7_clean_Escherichia_coli-SC16_ST38_contigs,B02200,SC16_ST38,24469_6_7,KL31_K74,>5000bp,O129,H4,,1
24469_6_7_clean_Escherichia_coli-SC33_ST357_contigs,B02200,SC33_ST357,24469_6_7,KL8A1_K1,>5000bp,O129,H4,,1
24469_6_7_clean_Escherichia_coli-SC9_ST12_contigs,B02200,SC9_ST12,24469_6_7,Untypeable,Both,O129,H4,,1
22607_2_17_clean_Escherichia_coli-SC9_ST12_contigs,B02211,SC9_ST12,22607_2_17,KL26_K3,>5000bp,O4,H5,,1
22178_5_23_clean_Escherichia_coli-SC6_ST69_contigs,B02215,SC6_ST69,22178_5_23,KL40_K15,>5000bp,O15,H6,,1
24469_6_2_clean_Escherichia_coli-SC16_ST38_contigs,B02216,SC16_ST38,24469_6_2,Untypeable,Both,O1,H7,,1
22607_3_18_clean_Escherichia_coli-SC22_ST398_contigs,B02216,SC22_ST398,22607_3_18,Untypeable,Both,Oneg,H4,,1
24469_6_2_clean_Escherichia_coli-SC5_ST95_contigs,B02216,SC5_ST95,24469_6_2,KL8A1_K1,>5000bp,O1,H7,,1
24469_6_2_clean_Escherichia_coli-SC6_ST69_contigs,B02216,SC6_ST69,24469_6_2,KL36_K54-K96,>5000bp,O1,H7,,1
24469_2_7_clean_Escherichia_coli-SC3_ST73_contigs,B02218,SC3_ST73,24469_2_7,KL6_K5,<5000bp,Oneg,H1,,1
23584_5_22_clean_Escherichia_coli-SC15_ST648_contigs,B02243,SC15_ST648,23584_5_22,KL45,>5000bp,O1,Hneg,,1
23584_5_24_clean_Escherichia_coli-SC3_ST73_contigs,B02243,SC3_ST73,23584_5_24,KL3_K2ab,>5000bp,O6,H1,,1
25076_3_20_clean_Escherichia_coli-SC2_ST131_contigs,B02247,SC2_ST131,25076_3_20,KL6_K5,>5000bp,O25,H4,B,1
24469_2_11_clean_Escherichia_coli-SC77_ST409_contigs,B02248,SC77_ST409,24469_2_11,Untypeable,Both,O75,H38/H55,,1
22607_3_2_clean_Escherichia_coli-SC12_ST410_contigs,B02249,SC12_ST410,22607_3_2,Untypeable,Both,O8/O179,H19,,1
22607_3_9_clean_Escherichia_coli-SC149_ST224_contigs,B02249,SC149_ST224,22607_3_9,Untypeable,Both,O8/O179,H19,,1
22607_3_9_clean_Escherichia_coli-SC354_ST4566_contigs,B02249,SC354_ST4566,22607_3_9,Untypeable,Both,O8/O179,H19,,1
22607_3_9_clean_Escherichia_coli-SC58_ST2773_contigs,B02249,SC58_ST2773,22607_3_9,Untypeable,Both,O8/O179,H19,,1
23584_5_23_clean_Escherichia_coli-SC77_ST409_contigs,B02249,SC77_ST409,23584_5_23,Untypeable,Both,O21,H38/H55,,1
22607_3_9_clean_Escherichia_coli-SC99_ST1727_contigs,B02249,SC99_ST1727,22607_3_9,Untypeable,Both,O8/O179,H19,,1
25076_3_21_clean_Escherichia_coli-SC18_ST141_contigs,B02254,SC18_ST141,25076_3_21,KL8A1_K1,>5000bp,O2,H6,,1
24469_6_20_clean_Escherichia_coli-SC102_ST973_contigs,B02255,SC102_ST973,24469_6_20,KL39,>5000bp,O11,H15,,1
24469_6_20_clean_Escherichia_coli-SC250_ST2474_contigs,B02255,SC250_ST2474,24469_6_20,Untypeable,Both,O11,H15,,1
37081_3_18_clean_Escherichia_coli-SC40_ST28_contigs,B02256,SC40_ST28,37081_3_18,Untypeable,Both,O33,H6,,1
22607_3_8_clean_Escherichia_coli-SC11_ST127_contigs,B02257,SC11_ST127,22607_3_8,KL12_K82,>5000bp,O16,H5,,1
22607_3_16_clean_Escherichia_coli-SC11_ST127_contigs,B02257,SC11_ST127,22607_3_16,KL137_K14-like,>5000bp,O6,H31,,2
22607_2_15_clean_Escherichia_coli-SC2_ST131_contigs,B02257,SC2_ST131,22607_2_15,KL12_K82,>5000bp,O16,H5,A,1
22607_3_8_clean_Escherichia_coli-SC2_ST131_contigs,B02257,SC2_ST131,22607_3_8,KL6_K5,<5000bp,O16,H5,A,2
22607_2_21_clean_Escherichia_coli-SC16_ST38_contigs,B02258,SC16_ST38,22607_2_21,KL99,>5000bp,OgN12,Hneg,,1
24469_7_24_clean_Escherichia_coli-SC147_ST2178_contigs,B02263,SC147_ST2178,24469_7_24,Untypeable,Both,O166,H49,,1
24469_7_24_clean_Escherichia_coli-SC28_ST101_contigs,B02263,SC28_ST101,24469_7_24,Untypeable,Both,O166,H49,,1
37081_3_25_clean_Escherichia_coli-SC96_ST4038_contigs,B02264,SC96_ST4038,37081_3_25,Untypeable,Both,O93,H28,,1
22607_3_19_clean_Escherichia_coli-SC5_ST95_contigs,B02270,SC5_ST95,22607_3_19,KL8A1_K1,>5000bp,O1,H7,,1
22607_3_19_clean_Escherichia_coli-SC68_ST83_contigs,B02270,SC68_ST83,22607_3_19,KL71,>5000bp,O1,H7,,1
25076_6_4_clean_Escherichia_coli-SC119_ST919_contigs,B02273,SC119_ST919,25076_6_4,Untypeable,Both,O16,H5,,1
23164_7_12_clean_Escherichia_coli-SC2_ST131_contigs,B02273,SC2_ST131,23164_7_12,KL103_K100-like,>5000bp,Oneg,H5,A,1
23164_7_3_clean_Escherichia_coli-SC2_ST131_contigs,B02273,SC2_ST131,23164_7_3,KL2_K100,>5000bp,O16,H5,A,2
25076_7_18_clean_Escherichia_coli-SC14_ST405_contigs,B02274,SC14_ST405,25076_7_18,KL18_K2ac,>5000bp,O102,Hneg,,1
25076_7_18_clean_Escherichia_coli-SC16_ST38_contigs,B02274,SC16_ST38,25076_7_18,KL3_K2ab,>5000bp,O102,Hneg,,1
25076_7_18_clean_Escherichia_coli-SC24_ST443_contigs,B02274,SC24_ST443,25076_7_18,Untypeable,Both,O102,Hneg,,1
24469_3_21_clean_Escherichia_coli-SC21_ST393_contigs,B02284,SC21_ST393,24469_3_21,KL22,>5000bp,Oneg,H34,,1
24211_6_10_clean_Escherichia_coli-SC3_ST73_contigs,B02287,SC3_ST73,24211_6_10,KL6_K5,>5000bp,O6,H1,,1
37081_3_26_clean_Escherichia_coli-SC20_ST59_contigs,B02290,SC20_ST59,37081_3_26,KL8A1_K1,>5000bp,O1,H7,,1
25076_3_22_clean_Escherichia_coli-SC4_ST10_contigs,B02306,SC4_ST10,25076_3_22,Untypeable,Both,Oneg,H10,,1
25013_4_13_clean_Escherichia_coli-SC84_ST491_contigs,B02306,SC84_ST491,25013_4_13,Untypeable,Both,O54,H45,,1
24469_7_15_clean_Escherichia_coli-SC16_ST38_contigs,B02313,SC16_ST38,24469_7_15,KL5,<5000bp,O6,H1,,1
24469_7_15_clean_Escherichia_coli-SC3_ST73_contigs,B02313,SC3_ST73,24469_7_15,KL6_K5,>5000bp,O6,H1,,1
22607_3_24_clean_Escherichia_coli-SC90_ST685_contigs,B02315,SC90_ST685,22607_3_24,Untypeable,Both,O148,H30,,1
25076_3_23_clean_Escherichia_coli-SC17_ST58_contigs,B02316,SC17_ST58,25076_3_23,Untypeable,Both,O117,H4,,1
25076_3_23_clean_Escherichia_coli-SC188_ST3076_contigs,B02316,SC188_ST3076,25076_3_23,Untypeable,Both,O117,H4,,1
25076_3_23_clean_Escherichia_coli-SC33_ST357_contigs,B02316,SC33_ST357,25076_3_23,KL8A1_K1,>5000bp,O117,H4,,1
22607_2_23_clean_Escherichia_coli-SC33_ST357_contigs,B02317,SC33_ST357,22607_2_23,KL8A1_K1,>5000bp,Oneg,H4,,1
37081_3_32_clean_Escherichia_coli-SC8_ST1193_contigs,B02319,SC8_ST1193,37081_3_32,KL6_K5,>5000bp,O75,H5,,1
25076_3_24_clean_Escherichia_coli-SC165_ST1643_contigs,B02320,SC165_ST1643,25076_3_24,Untypeable,Both,O21,H55,,1
25076_4_1_clean_Escherichia_coli-SC2_ST131_contigs,B02320,SC2_ST131,25076_4_1,KL2_K100,>5000bp,O16,H5,A,1
25013_4_6_clean_Escherichia_coli-SC4_ST10_contigs,B02320,SC4_ST10,25013_4_6,KL8A1_K1,>5000bp,O12,Hneg,,1
25076_3_24_clean_Escherichia_coli-SC77_ST409_contigs,B02320,SC77_ST409,25076_3_24,Untypeable,Both,O21,H55,,1
25013_2_21_clean_Escherichia_coli-SC22_ST398_contigs,B02322,SC22_ST398,25013_2_21,Untypeable,Both,Oneg,Hneg,,1
25013_2_21_clean_Escherichia_coli-SC4_ST10_contigs,B02322,SC4_ST10,25013_2_21,Untypeable,Both,Oneg,Hneg,,1
24469_1_15_clean_Escherichia_coli-SC24_ST443_contigs,B02326,SC24_ST443,24469_1_15,Untypeable,Both,O54,H2,,1
24469_1_15_clean_Escherichia_coli-SC75_ST940_contigs,B02326,SC75_ST940,24469_1_15,Untypeable,Both,O54,H2,,1
24211_6_14_clean_Escherichia_coli-SC149_ST224_contigs,B02329,SC149_ST224,24211_6_14,Untypeable,Both,O74,H23,,1
24469_3_17_clean_Escherichia_coli-SC69_ST349_contigs,B02329,SC69_ST349,24469_3_17,KL22,>5000bp,O166,H15,,1
24469_6_10_clean_Escherichia_coli-SC43_ST206_contigs,B02358,SC43_ST206,24469_6_10,Untypeable,Both,O88,H5,,1
24211_6_7_clean_Escherichia_coli-SC5_ST95_contigs,B02358,SC5_ST95,24211_6_7,KL8A1_K1,>5000bp,O1,H7,,1
24211_6_7_clean_Escherichia_coli-SC68_ST83_contigs,B02358,SC68_ST83,24211_6_7,KL71,>5000bp,O1,H7,,1
24469_3_13_clean_Escherichia_coli-SC43_ST206_contigs,B02363,SC43_ST206,24469_3_13,Untypeable,Both,Oneg,H26,,1
24469_3_13_clean_Escherichia_coli-SC4_ST10_contigs,B02363,SC4_ST10,24469_3_13,Untypeable,Both,Oneg,H26,,1
24469_3_13_clean_Escherichia_coli-SC80_ST7077_contigs,B02363,SC80_ST7077,24469_3_13,Untypeable,Both,Oneg,H26,,1
24469_3_13_clean_Escherichia_coli-SC89_ST542_contigs,B02363,SC89_ST542,24469_3_13,Untypeable,Both,Oneg,H26,,1
24469_6_12_clean_Escherichia_coli-SC2_ST131_contigs,B02369,SC2_ST131,24469_6_12,KL8A1_K1,>5000bp,O22/O22-like,Hneg,B,1
24211_6_6_clean_Escherichia_coli-SC3_ST73_contigs,B02369,SC3_ST73,24211_6_6,KL21_K13-K23,>5000bp,O22,H1,,1
24469_5_15_clean_Escherichia_coli-SC4_ST10_contigs,B02382,SC4_ST10,24469_5_15,KL12_K82,<5000bp,O16,Hneg,,1
24211_6_4_clean_Escherichia_coli-SC4_ST10_contigs,B02382,SC4_ST10,24211_6_4,KL21_K13-K23,>5000bp,O16,H4,,2
24469_6_14_clean_Escherichia_coli-SC4_ST10_contigs,B02382,SC4_ST10,24469_6_14,KL70,>5000bp,O16/Onovel32,H4,,3
37273_4_6_clean_Escherichia_coli-SC4_ST10_contigs,B02396,SC4_ST10,37273_4_6,Untypeable,Both,O17/O27,H18,,1
37273_4_6_clean_Escherichia_coli-SC6_ST69_contigs,B02396,SC6_ST69,37273_4_6,KL99,>5000bp,O17/O27,H18,,1
24469_6_9_clean_Escherichia_coli-SC69_ST349_contigs,B02401,SC69_ST349,24469_6_9,KL22,>5000bp,Oneg,Hneg,,1
25013_4_3_clean_Escherichia_coli-SC3_ST73_contigs,B02403,SC3_ST73,25013_4_3,KL21_K13-K23,>5000bp,O6,H1,,1
24469_2_5_clean_Escherichia_coli-SC18_ST141_contigs,B02416,SC18_ST141,24469_2_5,KL8A1_K1,<5000bp,O2,Hneg,,1
25013_1_10_clean_Escherichia_coli-SC4_ST10_contigs,B02429,SC4_ST10,25013_1_10,Untypeable,Both,Onovel9,H21,,1
25076_4_2_clean_Escherichia_coli-SC3_ST73_contigs,B02447,SC3_ST73,25076_4_2,KL6_K5,>5000bp,O6,H1,,1
24469_3_22_clean_Escherichia_coli-SC25_ST517_contigs,B02450,SC25_ST517,24469_3_22,Untypeable,Both,O124-like,H19,,1
24211_6_17_clean_Escherichia_coli-SC4_ST10_contigs,B02450,SC4_ST10,24211_6_17,Untypeable,Both,Oneg,Hneg,,1
24469_3_1_clean_Escherichia_coli-SC39_ST117_contigs,B02457,SC39_ST117,24469_3_1,Untypeable,Both,O153-like,Hneg,,1
24469_3_1_clean_Escherichia_coli-SC4_ST10_contigs,B02457,SC4_ST10,24469_3_1,Untypeable,Both,O153-like,Hneg,,1
24211_6_19_clean_Escherichia_coli-SC3_ST73_contigs,B02458,SC3_ST73,24211_6_19,KL7,>5000bp,O18,H1,,1
